text,text_sent
"FILE PHOTO: The hand of a sculpture of former U.S. President George Washington is pictured with the facade of the New York Stock Exchange (NYSE) in Manhattan in New York City, New York, U.S., January… [+1789 chars]",1
"By Reuters Staff
SHANGHAI, March 12 (Reuters) - China shares posted a weekly loss on Friday as a conservative 2021 economic growth target sparked fears Beijing could tighten policy to rein in lofty … [+1856 chars]",-1
"By Reuters Staff
FILE PHOTO: The logo of the Organisation of the Petroleum Exporting Countries (OPEC) sits outside its headquarters ahead of the OPEC and NON-OPEC meeting, Austria December 6, 2019. … [+675 chars]",0
"(Repeats Thursdays column with no changes to the text. John Kemp is a Reuters market analyst. The views expressed are his own)
* Chartbook: tmsnrt.rs/3vfpBsM
LONDON, March 11 (Reuters) - Global ref… [+3569 chars]",-1
"* MSCI EM stocks index up 0.6%; Fed vows to stay accommodative
* Russian rouble up 0.2% after 1% drop on Wednesday
* Turkey cenbank expected to raise rates by 100 bps
March 18 (Reuters) - Emerging… [+2810 chars]",-1
"By Reuters Staff
* HK-&gt;Shanghai Connect daily quota used -3%, Shanghai-&gt;HK daily quota used 0.9%
* FTSE China A50 +0.4%
March 29 (Reuters) - Hong Kong shares ended flat on Monday, as a retre… [+1127 chars]",1
"By Reuters Staff
PRAGUE, March 15 (Reuters) - Prague's main share index
tested 2021 highs on Monday and Warsaw hit a two-month peak as
central European equities started the week on stronger ground… [+3663 chars]",1
"By Reuters Staff
FILE PHOTO: The German share price index DAX graph is pictured at the stock exchange in Frankfurt, Germany, March 9, 2021. REUTERS/Staff
(Reuters) - European stocks pulled back on … [+855 chars]",1
"Company News
Shashank Nayar
Medha Singh
(For a Reuters live blog on U.S., UK and European stock markets, click LIVE/ or type LIVE/ in a news window.)
* Futures: Dow up 0.09%, S&amp;P flat, Nasdaq… [+2042 chars]",0
"* Turkey raises interest rate by 200 bps
* Lira set for best day since new cenbank chief appointment in Nov
* MSCI EM stocks index up 0.6%; Fed vows to stay accommodative
* Russian rouble gives up… [+3063 chars]",1
LONDON (Reuters) - Global refineries will increase crude processing sharply over the next six months to stabilise stocks of fuels such as gasoline and diesel even if substantial coronavirus controls … [+3491 chars],-1
"By Reuters Staff
FILE PHOTO: The German share price index DAX graph is pictured at the stock exchange in Frankfurt, Germany, March 5, 2021. REUTERS/Staff
(Reuters) - European shares rose on Monday,… [+912 chars]",1
Warren Buffett is investing in 5G stocks. Buffett recently bought 147 million Verizon shares worth about US$8 billion. Buffett also recently increased its stake in T-Mobile to around US$706 million f… [+3847 chars],1
"Financials
Reuters Staff
SHANGHAI, March 15 (Reuters) - China shares closed lower on Monday, with heavyweight consumer, healthcare and new energy stocks leading the losses, as the recent conservati… [+2083 chars]",-1
"By Reuters Staff
(For a Reuters live blog on U.S., UK and European stock markets, click LIVE/ or type LIVE/ in a news window)
March 17 (Reuters) - European stocks were flat on Wednesday as most inv… [+1074 chars]",0
"By Reuters Staff
FILE PHOTO: The German share price index DAX graph is pictured at the stock exchange in Frankfurt, Germany, March 24, 2021. REUTERS/Staff
(Reuters) - European stocks inched lower i… [+1018 chars]",0
