Symbol,Security,Qty,Type,Open date,Adj cost per share,Adjcost
MSFT,Microsoft,42.0433046,Buy,3/24/2021,237.85,10000
KSU,Kansas City Southern,40.54656773,Buy,3/24/2021,246.63,10000
CRWD,CrowdStrike,52.35602094,Buy,3/24/2021,191,10000
CCIV,Churchill Capital Corp,408.997955,Buy,3/24/2021,24.45,10000
PLUG,Plug Power Inc,269.9784017,Buy,3/24/2021,37.04,10000
NIO,NIO Inc.,242.7184466,Buy,3/24/2021,41.2,10000
BABA,Alibaba Group ,42.22438036,Buy,3/24/2021,236.83,10000
FUTU,Futu Holdings Ltd,86.20689655,Buy,3/24/2021,116,10000
TSLA,Tesla,14.97207708,Buy,3/24/2021,667.91,10000
AMZN,Amazon Inc.,3.173555398,Buy,3/24/2021,3151.04,10000
MSFT,Microsoft,42.0433046,Sell.FIFO,4/5/2021,249.07,10471.72588
KSU,Kansas City Southern,40.54656773,Sell.FIFO,4/5/2021,266.78,10817.01334
CRWD,CrowdStrike,52.35602094,Sell.FIFO,4/5/2021,186.62,9770.680628
CCIV,Churchill Capital Corp,408.997955,Sell.FIFO,4/5/2021,23,9406.952965
PLUG,Plug Power Inc,269.9784017,Sell.FIFO,4/5/2021,33.44,9028.077754
NIO,NIO Inc.,242.7184466,Sell.FIFO,4/5/2021,39.31,9541.262136
BABA,Alibaba Group ,42.22438036,Sell.FIFO,4/5/2021,225.3,9513.152894
FUTU,Futu Holdings Ltd,86.20689655,Sell.FIFO,4/5/2021,148,12758.62069
TSLA,Tesla,14.97207708,Sell.FIFO,4/5/2021,691.05,10346.45386
AMZN,Amazon Inc.,3.173555398,Sell.FIFO,4/5/2021,3226.73,10240.20641
DKNG,DraftKings Inc.,163.7642985,Buy,4/5/2021,62.22,10189.41466
AMZN,Amazon Inc.,3.160733511,Buy,4/5/2021,3223.75,10189.41466
AMC,AMC,979.7514092,Buy,4/5/2021,10.4,10189.41466
GOOG,Google ,4.584663512,Buy,4/5/2021,2222.5,10189.41466
X,United States Steel Corp,414.8784469,Buy,4/5/2021,24.56,10189.41466
VIAC,ViacomCBS,242.6051108,Buy,4/5/2021,42,10189.41466
DISCA,Discovery Inc.,245.1735961,Buy,4/5/2021,41.56,10189.41466
MSFT,Microsoft,41.15106278,Buy,4/5/2021,247.61,10189.41466
ACVA,ACV Auctions Inc.,317.8232893,Buy,4/5/2021,32.06,10189.41466
BIDU,Baidu Inc.,45.63105533,Buy,4/5/2021,223.3,10189.41466
